            # x            Gamma(x)
      -0.767634           -5.102903
      -0.763132           -5.029869
      -0.758629           -4.959967
      -0.754127           -4.893031
      -0.749625           -4.828907
      -0.745123           -4.767452
      -0.740620           -4.708534
      -0.736118           -4.652030
      -0.731616           -4.597824
      -0.727114           -4.545809
      -0.722611           -4.495885
      -0.718109           -4.447958
      -0.713607           -4.401941
      -0.709105           -4.357752
      -0.704602           -4.315315
      -0.700100           -4.274557
      -0.695598           -4.235411
      -0.691096           -4.197814
      -0.686593           -4.161706
      -0.682091           -4.127031
      -0.677589           -4.093737
      -0.673087           -4.061774
      -0.668584           -4.031095
      -0.664082           -4.001658
      -0.659580           -3.973419
      -0.655078           -3.946341
      -0.650575           -3.920386
      -0.646073           -3.895521
      -0.641571           -3.871712
      -0.637069           -3.848929
      -0.632566           -3.827142
      -0.628064           -3.806324
      -0.623562           -3.786450
      -0.619060           -3.767495
      -0.614557           -3.749437
      -0.610055           -3.732253
      -0.605553           -3.715924
      -0.601051           -3.700430
      -0.596548           -3.685753
      -0.592046           -3.671877
      -0.587544           -3.658786
      -0.583042           -3.646465
      -0.578539           -3.634901
      -0.574037           -3.624079
      -0.569535           -3.613990
      -0.565033           -3.604621
      -0.560530           -3.595962
      -0.556028           -3.588003
      -0.551526           -3.580737
      -0.547024           -3.574154
      -0.542521           -3.568249
      -0.538019           -3.563014
      -0.533517           -3.558443
      -0.529015           -3.554532
      -0.524512           -3.551276
      -0.520010           -3.548671
      -0.515508           -3.546714
      -0.511006           -3.545403
      -0.506503           -3.544736
      -0.502001           -3.544712
      -0.497499           -3.545330
      -0.492996           -3.546591
      -0.488494           -3.548494
      -0.483992           -3.551042
      -0.479490           -3.554236
      -0.474987           -3.558079
      -0.470485           -3.562574
      -0.465983           -3.567725
      -0.461481           -3.573538
      -0.456978           -3.580016
      -0.452476           -3.587166
      -0.447974           -3.594995
      -0.443472           -3.603509
      -0.438969           -3.612718
      -0.434467           -3.622630
      -0.429965           -3.633255
      -0.425463           -3.644602
      -0.420960           -3.656684
      -0.416458           -3.669513
      -0.411956           -3.683101
      -0.407454           -3.697463
      -0.402951           -3.712613
      -0.398449           -3.728568
      -0.393947           -3.745345
      -0.389445           -3.762961
      -0.384942           -3.781437
      -0.380440           -3.800792
      -0.375938           -3.821048
      -0.371436           -3.842229
      -0.366933           -3.864359
      -0.362431           -3.887464
      -0.357929           -3.911572
      -0.353427           -3.936712
      -0.348924           -3.962915
      -0.344422           -3.990215
      -0.339920           -4.018646
      -0.335418           -4.048244
      -0.330915           -4.079050
      -0.326413           -4.111106
      -0.321911           -4.144455
      -0.317409           -4.179144
      -0.312906           -4.215224
      -0.308404           -4.252748
      -0.303902           -4.291771
      -0.299400           -4.332355
      -0.294897           -4.374562
      -0.290395           -4.418461
      -0.285893           -4.464125
      -0.281391           -4.511630
      -0.276888           -4.561060
      -0.272386           -4.612503
      -0.267884           -4.666053
      -0.263382           -4.721811
      -0.258879           -4.779885
      -0.254377           -4.840391
      -0.249875           -4.903454
      -0.245373           -4.969208
      -0.240870           -5.037797
      -0.236368           -5.109376
      -0.231866           -5.184112
      -0.227364           -5.262187
      -0.222861           -5.343795
      -0.218359           -5.429150
      -0.213857           -5.518480
      -0.209355           -5.612037
      -0.204852           -5.710091
      -0.200350           -5.812939
      -0.195848           -5.920906
      -0.191346           -6.034346
      -0.186843           -6.153648
      -0.182341           -6.279241
      -0.177839           -6.411594
      -0.173337           -6.551228
      -0.168834           -6.698720
      -0.164332           -6.854707
      -0.159830           -7.019902
      -0.155328           -7.195098
      -0.150825           -7.381184
      -0.146323           -7.579159
      -0.141821           -7.790147
      -0.137319           -8.015422
      -0.132816           -8.256430
      -0.128314           -8.514819
      -0.123812           -8.792478
      -0.119310           -9.091582
      -0.114807           -9.414646
      -0.110305           -9.764596
      -0.105803          -10.144856
      -0.101301          -10.559461
      -0.096798          -11.013193
      -0.092296          -11.511771
      -0.087794          -12.062085
      -0.083292          -12.672516
      -0.078789          -13.353361
      -0.074287          -14.117412
      -0.069785          -14.980764
      -0.065283          -15.963951
      -0.060780          -17.093593
      -0.056278          -18.404826
      -0.051776          -19.945011
      -0.047274                 NaN
      -0.042771                 NaN
      -0.038269                 NaN
      -0.033767                 NaN
      -0.029265                 NaN
      -0.024762                 NaN
      -0.020260                 NaN
      -0.015758                 NaN
      -0.011256                 NaN
      -0.006753                 NaN
      -0.002251                 NaN
       0.002251                 NaN
       0.006753                 NaN
       0.011256                 NaN
       0.015758                 NaN
       0.020260                 NaN
       0.024762                 NaN
       0.029265                 NaN
       0.033767                 NaN
       0.038269                 NaN
       0.042771                 NaN
       0.047274                 NaN
       0.051776           18.785700
       0.056278           17.244627
       0.060780           15.932430
       0.065283           14.801749
       0.069785           13.817447
       0.074287           12.952905
       0.078789           12.187587
       0.083292           11.505398
       0.087794           10.893547
       0.092296           10.341735
       0.096798            9.841582
       0.101301            9.386196
       0.105803            8.969859
       0.110305            8.587787
       0.114807            8.235946
       0.119310            7.910912
       0.123812            7.609756
       0.128314            7.329964
       0.132816            7.069360
       0.137319            6.826055
       0.141821            6.598400
       0.146323            6.384948
       0.150825            6.184425
       0.155328            5.995706
       0.159830            5.817791
       0.164332            5.649790
       0.168834            5.490910
       0.173337            5.340437
       0.177839            5.197732
       0.182341            5.062218
       0.186843            4.933375
       0.191346            4.810729
       0.195848            4.693853
       0.200350            4.582356
       0.204852            4.475883
       0.209355            4.374109
       0.213857            4.276735
       0.218359            4.183488
       0.222861            4.094118
       0.227364            4.008394
       0.231866            3.926102
       0.236368            3.847044
       0.240870            3.771040
       0.245373            3.697920
       0.249875            3.627528
       0.254377            3.559717
       0.258879            3.494353
       0.263382            3.431310
       0.267884            3.370470
       0.272386            3.311722
       0.276888            3.254965
       0.281391            3.200102
       0.285893            3.147043
       0.290395            3.095704
       0.294897            3.046005
       0.299400            2.997872
       0.303902            2.951235
       0.308404            2.906028
       0.312906            2.862189
       0.317409            2.819658
       0.321911            2.778381
       0.326413            2.738306
       0.330915            2.699383
       0.335418            2.661565
       0.339920            2.624807
       0.344422            2.589069
       0.348924            2.554310
       0.353427            2.520492
       0.357929            2.487580
       0.362431            2.455539
       0.366933            2.424337
       0.371436            2.393944
       0.375938            2.364329
       0.380440            2.335466
       0.384942            2.307327
       0.389445            2.279887
       0.393947            2.253121
       0.398449            2.227007
       0.402951            2.201523
       0.407454            2.176648
       0.411956            2.152360
       0.416458            2.128642
       0.420960            2.105474
       0.425463            2.082839
       0.429965            2.060719
       0.434467            2.039100
       0.438969            2.017964
       0.443472            1.997298
       0.447974            1.977087
       0.452476            1.957317
       0.456978            1.937974
       0.461481            1.919047
       0.465983            1.900523
       0.470485            1.882390
       0.474987            1.864637
       0.479490            1.847253
       0.483992            1.830229
       0.488494            1.813552
       0.492996            1.797215
       0.497499            1.781208
       0.502001            1.765521
       0.506503            1.750146
       0.511006            1.735075
       0.515508            1.720300
       0.520010            1.705812
       0.524512            1.691605
       0.529015            1.677670
       0.533517            1.664002
       0.538019            1.650593
       0.542521            1.637437
       0.547024            1.624527
       0.551526            1.611857
       0.556028            1.599422
       0.560530            1.587215
       0.565033            1.575232
       0.569535            1.563466
       0.574037            1.551913
